bam_prefix	stanfordUUID	aliquot_id	Case_UUID	Case_ID
BRCA-000CFD9F-ADDF-4304-9E60-6041549E189C-X017-S06-L011-B1-T1-P040	000CFD9F-ADDF-4304-9E60-6041549E189C	TCGA-A7-A13F-01A-31-A615-42	2cf68894-168b-458b-af4f-53cad72989a8	TCGA-A7-A13F-01A-31-A615-42
BRCA-000CFD9F-ADDF-4304-9E60-6041549E189C-X017-S06-L012-B1-T2-P046	000CFD9F-ADDF-4304-9E60-6041549E189C	TCGA-A7-A13F-01A-31-A615-42	2cf68894-168b-458b-af4f-53cad72989a8	TCGA-A7-A13F-01A-31-A615-42
PCPG-007124EC-1F9B-4FCB-BC6E-DB8C25FD9146-X033-S03-L098-B1-T1-P073	007124EC-1F9B-4FCB-BC6E-DB8C25FD9146	TCGA-RM-A68W-01A-31-A644-42	1a1cf490-8bd4-4a99-bf3a-34f06435de86	TCGA-RM-A68W-01A-31-A644-42
PCPG-007124EC-1F9B-4FCB-BC6E-DB8C25FD9146-X033-S03-L100-B1-T2-P077	007124EC-1F9B-4FCB-BC6E-DB8C25FD9146	TCGA-RM-A68W-01A-31-A644-42	1a1cf490-8bd4-4a99-bf3a-34f06435de86	TCGA-RM-A68W-01A-31-A644-42
STAD-00DFAA4D-DE64-4476-9546-18E728653046-X029-S06-L011-B1-T1-P072	00DFAA4D-DE64-4476-9546-18E728653046	TCGA-BR-A4J1-01A-31-A646-42	e9a98a44-83f2-490c-b053-1e953ebd4e7e	TCGA-BR-A4J1-01A-31-A646-42
STAD-00DFAA4D-DE64-4476-9546-18E728653046-X029-S06-L012-B1-T2-P077	00DFAA4D-DE64-4476-9546-18E728653046	TCGA-BR-A4J1-01A-31-A646-42	e9a98a44-83f2-490c-b053-1e953ebd4e7e	TCGA-BR-A4J1-01A-31-A646-42
BRCA-01112370-4F6F-4A20-9BE0-7975C3465268-X017-S04-L007-B1-T1-P042	01112370-4F6F-4A20-9BE0-7975C3465268	TCGA-A7-A13E-01A-31-A615-42	8c7e74e0-71ef-49b8-9217-94b8ef740ef9	TCGA-A7-A13E-01A-31-A615-42
BRCA-01112370-4F6F-4A20-9BE0-7975C3465268-X017-S04-L008-B1-T2-P044	01112370-4F6F-4A20-9BE0-7975C3465268	TCGA-A7-A13E-01A-31-A615-42	8c7e74e0-71ef-49b8-9217-94b8ef740ef9	TCGA-A7-A13E-01A-31-A615-42
BRCA-0142AAAC-FFE8-43B7-AB99-02F7A1740567-X022-S06-L057-B1-T1-P050	0142AAAC-FFE8-43B7-AB99-02F7A1740567	TCGA-BH-A0DP-01A-31-A616-42	14267783-5624-4fe5-ba81-9d67f1017474	TCGA-BH-A0DP-01A-31-A616-42
BRCA-0142AAAC-FFE8-43B7-AB99-02F7A1740567-X022-S06-L058-B1-T2-P051	0142AAAC-FFE8-43B7-AB99-02F7A1740567	TCGA-BH-A0DP-01A-31-A616-42	14267783-5624-4fe5-ba81-9d67f1017474	TCGA-BH-A0DP-01A-31-A616-42
STAD-0215A386-9440-452B-9832-B64A80AA8898-X030-S04-L031-B1-T1-P080	0215A386-9440-452B-9832-B64A80AA8898	TCGA-BR-A4J9-01A-31-A646-42	5034cc97-9eec-42fe-acf9-cdc5a10e6547	TCGA-BR-A4J9-01A-31-A646-42
STAD-0215A386-9440-452B-9832-B64A80AA8898-X030-S04-L032-B1-T2-P081	0215A386-9440-452B-9832-B64A80AA8898	TCGA-BR-A4J9-01A-31-A646-42	5034cc97-9eec-42fe-acf9-cdc5a10e6547	TCGA-BR-A4J9-01A-31-A646-42
ACCx-025FE5F8-885E-433D-9018-7AE322A92285-X034-S09-L133-B1-T1-PMRG	025FE5F8-885E-433D-9018-7AE322A92285	TCGA-OR-A5K8-01A-31-A644-42	1ae9cd13-73ef-4b1a-a734-4c465c73bc8e	TCGA-OR-A5K8-01A-31-A644-42
ACCx-025FE5F8-885E-433D-9018-7AE322A92285-X034-S09-L134-B1-T2-PMRG	025FE5F8-885E-433D-9018-7AE322A92285	TCGA-OR-A5K8-01A-31-A644-42	1ae9cd13-73ef-4b1a-a734-4c465c73bc8e	TCGA-OR-A5K8-01A-31-A644-42
BRCA-037238B0-8FB6-4ECC-9970-93E84F9286EF-X005-S09-L020-B1-T1-P015	037238B0-8FB6-4ECC-9970-93E84F9286EF	TCGA-A2-A0EW-01A-11-A615-42	8d5fe6e8-d2cc-481f-a6a1-9cb6e7982cde	TCGA-A2-A0EW-01A-11-A615-42
BRCA-037238B0-8FB6-4ECC-9970-93E84F9286EF-X005-S09-L021-B1-T2-P014	037238B0-8FB6-4ECC-9970-93E84F9286EF	TCGA-A2-A0EW-01A-11-A615-42	8d5fe6e8-d2cc-481f-a6a1-9cb6e7982cde	TCGA-A2-A0EW-01A-11-A615-42
KIRP-042753BE-85C4-4099-8D32-D0CB0E1EB4DD-X017-S10-L019-B1-T1-P040	042753BE-85C4-4099-8D32-D0CB0E1EB4DD	TCGA-B9-A8YI-01A-31-A617-42	9e4c8e1e-041c-4c95-9801-70c8dd0a7797	TCGA-B9-A8YI-01A-31-A617-42
KIRP-042753BE-85C4-4099-8D32-D0CB0E1EB4DD-X017-S10-L020-B1-T2-P042	042753BE-85C4-4099-8D32-D0CB0E1EB4DD	TCGA-B9-A8YI-01A-31-A617-42	9e4c8e1e-041c-4c95-9801-70c8dd0a7797	TCGA-B9-A8YI-01A-31-A617-42
THCA-073FEB53-ADC5-4B5B-8D4B-9D6692AE996F-X032-S11-L091-B1-T2-P083	073FEB53-ADC5-4B5B-8D4B-9D6692AE996F	TCGA-BJ-A290-01A-31-A644-42	3cd2d4bd-8256-42fa-8272-db379d598007	TCGA-BJ-A290-01A-31-A644-42
THCA-073FEB53-ADC5-4B5B-8D4B-9D6692AE996F-X032-S11-L090-B1-T1-PMRG	073FEB53-ADC5-4B5B-8D4B-9D6692AE996F	TCGA-BJ-A290-01A-31-A644-42	3cd2d4bd-8256-42fa-8272-db379d598007	TCGA-BJ-A290-01A-31-A644-42
STAD-074F7FDD-B91D-4302-8248-B3FAA12A2451-X031-S11-L066-B1-T1-P076	074F7FDD-B91D-4302-8248-B3FAA12A2451	TCGA-VQ-A94O-01A-31-A645-42	e12d142e-7339-48fc-b17a-9e311b65327f	TCGA-VQ-A94O-01A-31-A645-42
STAD-074F7FDD-B91D-4302-8248-B3FAA12A2451-X031-S11-L067-B1-T2-P071	074F7FDD-B91D-4302-8248-B3FAA12A2451	TCGA-VQ-A94O-01A-31-A645-42	e12d142e-7339-48fc-b17a-9e311b65327f	TCGA-VQ-A94O-01A-31-A645-42
LUAD-07B8C449-3062-436F-8274-4C27887BF8AB-X026-S01-L051-B1-T1-P064	07B8C449-3062-436F-8274-4C27887BF8AB	TCGA-MP-A4T7-01A-22-A646-42	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7-01A-22-A646-42
LUAD-07B8C449-3062-436F-8274-4C27887BF8AB-X026-S01-L052-B1-T2-P066	07B8C449-3062-436F-8274-4C27887BF8AB	TCGA-MP-A4T7-01A-22-A646-42	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7-01A-22-A646-42
BRCA-08499A64-3FD8-4E62-AF08-3C66AF93CAE7-X003-S05-L027-B1-T1-P003	08499A64-3FD8-4E62-AF08-3C66AF93CAE7	TCGA-A7-A0CH-01A-31-A602-42	9de678e5-67ed-4453-a98b-7ac351d5d0f1	TCGA-A7-A0CH-01A-31-A602-42
BRCA-08499A64-3FD8-4E62-AF08-3C66AF93CAE7-X003-S05-L028-B1-T2-P003	08499A64-3FD8-4E62-AF08-3C66AF93CAE7	TCGA-A7-A0CH-01A-31-A602-42	9de678e5-67ed-4453-a98b-7ac351d5d0f1	TCGA-A7-A0CH-01A-31-A602-42
SKCM-0852FA43-7577-4456-8033-9A9156A7B258-X032-S12-L092-B1-T1-P070	0852FA43-7577-4456-8033-9A9156A7B258	TCGA-DA-A95Y-06A-22-A645-42	40a4b549-09a4-4621-9715-e44d4b9d1198	TCGA-DA-A95Y-06A-22-A645-42
SKCM-0852FA43-7577-4456-8033-9A9156A7B258-X032-S12-L093-B1-T2-P083	0852FA43-7577-4456-8033-9A9156A7B258	TCGA-DA-A95Y-06A-22-A645-42	40a4b549-09a4-4621-9715-e44d4b9d1198	TCGA-DA-A95Y-06A-22-A645-42
BRCA-08891EB8-2C41-400C-8A66-BEE040CCA71D-X011-S12-L023-B1-T1-P027	08891EB8-2C41-400C-8A66-BEE040CCA71D	TCGA-AO-A0JM-01A-31-A615-42	44bec761-b603-49c0-8634-f6bfe0319bb1	TCGA-AO-A0JM-01A-31-A615-42
BRCA-08891EB8-2C41-400C-8A66-BEE040CCA71D-X011-S12-L024-B1-T2-P029	08891EB8-2C41-400C-8A66-BEE040CCA71D	TCGA-AO-A0JM-01A-31-A615-42	44bec761-b603-49c0-8634-f6bfe0319bb1	TCGA-AO-A0JM-01A-31-A615-42
COAD-0914606C-2CA1-4287-B530-DB70EA93ED6C-X022-S02-L050-B1-T1-P053	0914606C-2CA1-4287-B530-DB70EA93ED6C	TCGA-AY-A8YK-01A-31-A617-42	c6f6c032-5d4e-4028-aed0-24a587620354	TCGA-AY-A8YK-01A-31-A617-42
COAD-0914606C-2CA1-4287-B530-DB70EA93ED6C-X022-S02-L051-B1-T2-P050	0914606C-2CA1-4287-B530-DB70EA93ED6C	TCGA-AY-A8YK-01A-31-A617-42	c6f6c032-5d4e-4028-aed0-24a587620354	TCGA-AY-A8YK-01A-31-A617-42
KIRP-09B393E2-4336-4C79-BA60-5DCF9129164C-X011-S08-L015-B1-T1-P027	09B393E2-4336-4C79-BA60-5DCF9129164C	TCGA-UZ-A9PK-01A-31-A617-42	92dec9c3-27c1-48c4-8184-5d8d12678992	TCGA-UZ-A9PK-01A-31-A617-42
KIRP-09B393E2-4336-4C79-BA60-5DCF9129164C-X011-S08-L016-B1-T2-P029	09B393E2-4336-4C79-BA60-5DCF9129164C	TCGA-UZ-A9PK-01A-31-A617-42	92dec9c3-27c1-48c4-8184-5d8d12678992	TCGA-UZ-A9PK-01A-31-A617-42
GBMx-09C0DCE7-D669-4D28-980D-BF71179116A4-X008-S01-L001-B1-T1-P017	09C0DCE7-D669-4D28-980D-BF71179116A4	TCGA-06-A7TK-01A-31-A617-42	41685c5a-a548-483a-8a20-305ad8d61771	TCGA-06-A7TK-01A-31-A617-42
GBMx-09C0DCE7-D669-4D28-980D-BF71179116A4-X008-S01-L002-B1-T2-P020	09C0DCE7-D669-4D28-980D-BF71179116A4	TCGA-06-A7TK-01A-31-A617-42	41685c5a-a548-483a-8a20-305ad8d61771	TCGA-06-A7TK-01A-31-A617-42
TGCT-09E99DFE-D6FF-46DA-8DB4-AEEE237A6FE0-X028-S07-L112-B1-T1-P060	09E99DFE-D6FF-46DA-8DB4-AEEE237A6FE0	TCGA-2G-AAGS-01A-31-A644-42	a22235ef-0fd3-4087-a36c-bb22704450ea	TCGA-2G-AAGS-01A-31-A644-42
TGCT-09E99DFE-D6FF-46DA-8DB4-AEEE237A6FE0-X028-S07-L113-B1-T2-P061	09E99DFE-D6FF-46DA-8DB4-AEEE237A6FE0	TCGA-2G-AAGS-01A-31-A644-42	a22235ef-0fd3-4087-a36c-bb22704450ea	TCGA-2G-AAGS-01A-31-A644-42
TGCT-0A0512E8-AD96-4154-AAA2-3BDD67A279E9-X035-S11-L022-B1-T2-P090	0A0512E8-AD96-4154-AAA2-3BDD67A279E9	TCGA-XE-AAOF-01A-31-A646-42	2132f775-5d09-4b7f-b739-883b4aefb264	TCGA-XE-AAOF-01A-31-A646-42
TGCT-0A0512E8-AD96-4154-AAA2-3BDD67A279E9-X035-S11-L021-B1-T1-PMRG	0A0512E8-AD96-4154-AAA2-3BDD67A279E9	TCGA-XE-AAOF-01A-31-A646-42	2132f775-5d09-4b7f-b739-883b4aefb264	TCGA-XE-AAOF-01A-31-A646-42
KIRC-0A1F461B-6A6F-4142-8174-073ABBC28DF8-X002-S01-L001-B1-T1-P005	0A1F461B-6A6F-4142-8174-073ABBC28DF8	TCGA-B8-A8YJ-01A-31-A602-42	04beccb3-f513-4d60-b57f-a4382e4eeda3	TCGA-B8-A8YJ-01A-31-A602-42
KIRC-0A1F461B-6A6F-4142-8174-073ABBC28DF8-X002-S01-L002-B1-T2-P005	0A1F461B-6A6F-4142-8174-073ABBC28DF8	TCGA-B8-A8YJ-01A-31-A602-42	04beccb3-f513-4d60-b57f-a4382e4eeda3	TCGA-B8-A8YJ-01A-31-A602-42
COAD-0B139EBC-D372-4EC3-90DB-4CC9BC6F38DC-X006-S05-L038-B1-T1-P012	0B139EBC-D372-4EC3-90DB-4CC9BC6F38DC	TCGA-NH-A50U-01A-11-A616-42	9d68516e-7e5c-403e-8aca-ea1abe0d6014	TCGA-NH-A50U-01A-11-A616-42
COAD-0B139EBC-D372-4EC3-90DB-4CC9BC6F38DC-X006-S05-L039-B1-T2-P014	0B139EBC-D372-4EC3-90DB-4CC9BC6F38DC	TCGA-NH-A50U-01A-11-A616-42	9d68516e-7e5c-403e-8aca-ea1abe0d6014	TCGA-NH-A50U-01A-11-A616-42
COAD-0B7D5055-6D9C-46BB-A420-8098CD555089-X003-S07-L031-B1-T1-P002	0B7D5055-6D9C-46BB-A420-8098CD555089	TCGA-AA-A010-01A-61-A602-42	0712566e-3371-4715-95f1-5b792e72d758	TCGA-AA-A010-01A-61-A602-42
COAD-0B7D5055-6D9C-46BB-A420-8098CD555089-X003-S07-L032-B1-T2-P002	0B7D5055-6D9C-46BB-A420-8098CD555089	TCGA-AA-A010-01A-61-A602-42	0712566e-3371-4715-95f1-5b792e72d758	TCGA-AA-A010-01A-61-A602-42
KIRC-0BCD21B9-CB40-447A-A948-1E81C1639D73-X004-S11-L061-B1-T2-P006	0BCD21B9-CB40-447A-A948-1E81C1639D73	TCGA-DV-A4VX-01A-31-A602-42	ef2d7ef5-cdfc-48c9-b3fe-6eaf3be1106d	TCGA-DV-A4VX-01A-31-A602-42
