gene	conMean	treatMean	logFC	pValue	fdr
DACH1	1.885046901	0.644674963	-1.240371938	2.61E-105	4.44E-104
FMO2	6.029988842	2.745112878	-3.284875964	5.48E-124	4.64E-122
AP000892.6	3.730922037	2.082504337	-1.6484177	4.66E-94	4.66E-93
PFN2	4.024910473	5.250556584	1.225646111	1.01E-42	2.51E-42
GJA4	4.627755997	2.52097111	-2.106784888	3.93E-119	1.82E-117
HOOK1	1.699124403	2.912281593	1.21315719	1.06E-96	1.19E-95
KRT1	1.411362567	0.280408103	-1.130954463	5.87E-87	4.57E-86
IGHV3-43	1.470055227	3.720336325	2.250281098	3.06E-60	1.12E-59
MT1L	4.76002332	2.97190289	-1.78812043	9.51E-74	4.94E-73
MYOM2	2.477281771	1.344979602	-1.13230217	7.10E-69	3.23E-68
NPHP3	3.703389113	2.432801371	-1.270587743	1.18E-89	1.01E-88
PLCE1	2.850292423	1.492406996	-1.357885427	7.50E-100	9.71E-99
MT1A	4.898317256	1.852862543	-3.045454713	6.15E-85	4.49E-84
PKMYT1	1.576487598	3.285426752	1.708939154	8.81E-88	7.11E-87
RP11-452N17.1	2.781993321	5.014277254	2.232283933	1.19E-103	1.85E-102
IGHV1-24	2.287176778	4.752322537	2.465145759	1.64E-55	5.37E-55
KLK8	0.225708795	1.274336355	1.04862756	9.63E-13	1.36E-12
NCAPG	0.687784711	2.23805617	1.55027146	5.72E-101	7.76E-100
PTPRB	4.634089799	2.192833039	-2.441256761	2.76E-126	3.78E-124
TMCO1	5.087115291	6.650814983	1.563699693	2.34E-123	1.76E-121
PTPRH	0.168908771	1.932375768	1.763466997	9.09E-107	1.68E-105
ZNF767P	3.349991722	2.107069178	-1.242922544	5.08E-74	2.66E-73
SLC2A1	3.383595032	5.871653673	2.488058641	1.35E-103	2.08E-102
HCG27	2.316506224	1.114492564	-1.20201366	7.92E-65	3.26E-64
TNNT1	1.985126497	3.335282349	1.350155852	6.76E-16	1.02E-15
DEFA1	5.350172851	0.401844003	-4.948328849	6.02E-125	6.11E-123
WFDC1	4.21183547	1.890187403	-2.321648067	1.21E-114	3.76E-113
ADIRF-AS1	3.533505712	1.467559613	-2.065946099	9.94E-105	1.64E-103
PHYKPL	5.479917644	4.260273887	-1.219643758	7.83E-89	6.57E-88
NME2	2.862149272	4.086184548	1.224035277	5.22E-57	1.76E-56
PHLDA2	2.557950882	4.724235677	2.166284795	3.08E-98	3.69E-97
CENPH	1.556529784	2.842236616	1.285706832	4.00E-106	7.09E-105
EPB41L2	5.679609812	3.398734498	-2.280875314	3.68E-128	7.67E-126
LDHA	7.800413826	9.10536852	1.304954694	3.13E-95	3.28E-94
PDE5A	3.625705194	2.093746402	-1.531958792	4.63E-110	1.08E-108
RP11-166D19.1	3.32495173	2.199567023	-1.125384706	3.93E-51	1.17E-50
IGLC7	2.167132967	4.116739338	1.949606371	1.93E-36	4.25E-36
MZT2A	4.777776488	5.923175035	1.145398548	1.18E-90	1.05E-89
IGHGP	1.415553025	5.655926298	4.240373273	8.28E-115	2.62E-113
VNN2	3.702146095	1.804395253	-1.897750842	1.69E-89	1.44E-88
IGLC3	7.794663284	10.1846255	2.389962213	3.13E-57	1.06E-56
PRRT1	2.325656724	1.112475008	-1.213181716	4.40E-85	3.23E-84
RP11-419C5.2	3.224827317	2.083037386	-1.14178993	9.44E-48	2.61E-47
PLK3	4.914787714	3.613229633	-1.301558081	3.68E-88	3.00E-87
